timesteps,episode,total_reward
10000,1,0.9509755602067687
10000,2,0.4517999166791826
10000,3,2.0407651732677374
10000,4,1.6047062751018606
10000,5,2.820398722615188
10000,6,2.7319743609857
10000,7,2.110156544744754
10000,8,2.822760194682047
10000,9,2.0
10000,10,2.243544491511323
20000,1,2.0206904362832585
20000,2,1.938096030372567
20000,3,1.3985768180951696
20000,4,2.5050922781924783
20000,5,2.432777584233173
20000,6,1.4683336471291288
20000,7,2.2422982475972306
20000,8,2.817622106933195
20000,9,1.9999999999999996
20000,10,2.6214719068113586
30000,1,1.7997977599860433
30000,2,1.2578973831260258
30000,3,2.456463491424715
30000,4,1.363010879774703
30000,5,1.9999999999999996
30000,6,1.5606134003596628
30000,7,1.1384409218735776
30000,8,1.7002640479100135
30000,9,1.1286546311112988
30000,10,3.2041628380382243
40000,1,2.9188486287741737
40000,2,1.4476123053476608
40000,3,1.0
40000,4,2.274115441426277
40000,5,2.855841827582184
40000,6,2.5412100804928253
40000,7,2.5516110016150044
40000,8,2.0
40000,9,2.5569187181952655
40000,10,2.13050511461391
50000,1,2.125899352030628
50000,2,0.7907132627486448
50000,3,3.8853919471934524
50000,4,1.917805572246435
50000,5,3.043202183093725
50000,6,3.1749896563930355
50000,7,1.5094051398515793
50000,8,3.3507422305867895
50000,9,2.456413510867457
50000,10,2.678729248004951
60000,1,0.0
60000,2,0.0
60000,3,0.0
60000,4,0.0
60000,5,0.0
60000,6,0.0
60000,7,0.0
60000,8,0.0
60000,9,0.0
60000,10,0.0
70000,1,0.0
70000,2,0.0
70000,3,0.0
70000,4,0.0
70000,5,0.0
70000,6,0.0
70000,7,0.0
70000,8,0.0
70000,9,0.0
70000,10,0.0
80000,1,0.0
80000,2,0.0
80000,3,0.0
80000,4,0.0
80000,5,0.0
80000,6,0.0
80000,7,0.0
80000,8,0.0
80000,9,0.0
80000,10,0.0
90000,1,0.0
90000,2,0.0
90000,3,0.0
90000,4,0.0
90000,5,0.0
90000,6,0.0
90000,7,0.0
90000,8,0.0
90000,9,0.0
90000,10,0.0
100000,1,0.0
100000,2,0.0
100000,3,0.0
100000,4,0.0
100000,5,0.0
100000,6,0.0
100000,7,0.0
100000,8,0.0
100000,9,0.0
100000,10,0.0
110000,1,1.3494191594091958
110000,2,0.6504112619435447
110000,3,0.040051509707797806
110000,4,0.019524935651194397
110000,5,1.0000000000000004
110000,6,1.2498750373902214
110000,7,0.5849022100755636
110000,8,0.6492494271660822
110000,9,1.0000000000000004
110000,10,0.5765159425733257
120000,1,0.9999999999999991
120000,2,1.9999999999999991
120000,3,0.0
120000,4,0.6090081477412985
120000,5,1.1188358924814765
120000,6,0.1014898157973434
120000,7,0.0
120000,8,1.118652332295306
120000,9,1.8426394330301301
120000,10,0.0
130000,1,1.6213137648054312
130000,2,0.9785611936928751
130000,3,2.6515182796182586
130000,4,0.0
130000,5,1.1039405814998111
130000,6,0.0
130000,7,1.6691989566249252
130000,8,0.0
130000,9,2.3184180707386117
130000,10,3.0
140000,1,0.0
140000,2,0.7657459678204868
140000,3,0.0
140000,4,1.9999999999999996
140000,5,1.0
140000,6,1.402106474358538
140000,7,0.0
140000,8,2.146927557513285
140000,9,2.0820883514773856
140000,10,0.5856352522303387
150000,1,0.676764796289516
150000,2,3.0
150000,3,2.0
150000,4,0.0
150000,5,0.0
150000,6,3.0
150000,7,2.1982644899634294
150000,8,2.0000000000000004
150000,9,0.0
150000,10,1.0000000000000004
160000,1,0.0
160000,2,0.0
160000,3,0.0
160000,4,0.0
160000,5,0.0
160000,6,0.0
160000,7,0.0
160000,8,0.0
160000,9,0.0
160000,10,0.0
170000,1,0.0
170000,2,0.0
170000,3,0.0
170000,4,0.0
170000,5,0.0
170000,6,0.0
170000,7,0.0
170000,8,0.0
170000,9,0.0
170000,10,0.0
180000,1,0.0
180000,2,0.0
180000,3,0.0
180000,4,0.0
180000,5,0.0
180000,6,0.0
180000,7,0.0
180000,8,0.0
180000,9,0.0
180000,10,0.0
190000,1,0.0
190000,2,0.0
190000,3,0.0
190000,4,0.0
190000,5,0.0
190000,6,0.0
190000,7,0.0
190000,8,0.0
190000,9,0.0
190000,10,0.0
200000,1,0.0
200000,2,0.0
200000,3,0.0
200000,4,0.0
200000,5,0.0
200000,6,0.0
200000,7,0.0
200000,8,0.0
200000,9,0.0
200000,10,0.0
210000,1,0.01739080557756134
210000,2,0.0
210000,3,0.3017582855679555
210000,4,-0.8597641730094558
210000,5,0.0
210000,6,0.0
210000,7,0.498460661548219
210000,8,0.0
210000,9,-0.012656107738543199
210000,10,0.0
220000,1,0.0
220000,2,0.0
220000,3,3.0000000000000004
220000,4,0.0
220000,5,0.0
220000,6,-0.2669491448998831
220000,7,2.9999999999999996
220000,8,-0.19423393100711506
220000,9,0.0
220000,10,3.0000000000000004
230000,1,3.0000000000000004
230000,2,0.0
230000,3,-1.9999999999999998
230000,4,0.1161721817558794
230000,5,0.0
230000,6,2.0000000000000004
230000,7,1.0000000000000009
230000,8,0.0
230000,9,0.7660708983649513
230000,10,0.9999999999999996
240000,1,3.0000000000000004
240000,2,0.0
240000,3,0.0
240000,4,0.0
240000,5,0.0
240000,6,0.0
240000,7,1.9999999999999996
240000,8,2.0
240000,9,0.0
240000,10,-0.9999999999999996
250000,1,1.0000000000000004
250000,2,1.0
250000,3,3.0
250000,4,2.5780923216200335
250000,5,2.0
250000,6,1.4138549208742854
250000,7,2.0
250000,8,0.9999999999999991
250000,9,0.0
250000,10,0.0
